Consequent	Antecedent 	Support %	Confidence %
ItemID_130	student_group_F0 and hour_23	0.757367460694379	5.528052805280528
ItemID_76	hour_20 and student_group_F3	2.768265553528133	5.507900677200903
ItemID_124	student_group_F1 and hour_22	1.474741920163971	5.466101694915254
ItemID_26	hour_1 and student_group_F2	1.46599345114605	5.456095481670929
ItemID_128	hour_21 and student_group_F2	2.165246081935661	5.454545454545454
ItemID_76	student_group_F1 and hour_23	2.356462619041668	5.436223813312119
ItemID_76	hour_21 and student_group_F2	2.165246081935661	5.367965367965368
ItemID_76	hour_22 and student_group_F2	3.343789836778564	5.344795365352271
ItemID_124	hour_20 and student_group_F2	2.39958007348714	5.3125
ItemID_26	hour_1 and student_group_F4	1.010448171569975	5.256648113790971
ItemID_124	hour_21 and student_group_F2	2.165246081935661	5.252525252525253
ItemID_142	hour_23 and student_group_F2	4.085535031369511	5.246252676659529
ItemID_130	student_group_F1 and hour_23	2.356462619041668	5.118005833996288
ItemID_76	hour_20 and student_group_F2	2.39958007348714	5.104166666666667
ItemID_169	hour_0 and student_group_F3	3.055090359187143	5.072611986091225
ItemID_142	hour_1 and student_group_F4	1.010448171569975	5.071119356833643
ItemID_128	hour_21 and student_group_F1	0.978578748718974	5.044699872286079
ItemID_130	student_group_F1 and hour_22	1.474741920163971	5.042372881355933
ItemID_142	student_group_F1 and hour_22	1.474741920163971	5.0
ItemID_134	student_group_F1 and hour_22	1.474741920163971	4.957627118644068
ItemID_134	hour_21 and student_group_F1	0.978578748718974	4.91698595146871
ItemID_76	student_group_F1 and hour_20	0.816107181243283	4.900459418070445
ItemID_146	hour_20 and student_group_F2	2.39958007348714	4.869791666666667
ItemID_151	hour_1 and student_group_F3	1.400379933511635	4.863900044622936
ItemID_142	hour_20 and student_group_F4	1.760316944534706	4.863329783457579
ItemID_134	hour_23 and student_group_F3	3.704976629089909	4.840613931523023
ItemID_128	student_group_F0 and hour_0	0.727372709775789	4.810996563573884
ItemID_76	hour_0 and student_group_F2	3.028844952133377	4.786465855168146
ItemID_124	hour_22 and student_group_F2	3.343789836778564	4.765464399177724
ItemID_169	hour_21 and student_group_F3	2.313970055240333	4.7529030515798
ItemID_130	student_group_F1 and hour_20	0.816107181243283	4.747320061255743
ItemID_142	hour_0 and student_group_F2	3.028844952133377	4.745203218485662
ItemID_76	hour_20 and student_group_F4	1.760316944534706	4.721334753283635
ItemID_169	hour_22 and student_group_F2	3.343789836778564	4.709400112128575
ItemID_169	hour_0 and student_group_F2	3.028844952133377	4.683309263461935
ItemID_76	hour_23 and student_group_F2	4.085535031369511	4.680330376261853
ItemID_25	hour_0 and student_group_F4	2.487689654310496	4.647073599598091
ItemID_154	student_group_F0 and hour_22	0.87859624565701	4.623044096728307
ItemID_169	hour_21 and student_group_F2	2.165246081935661	4.617604617604617
ItemID_142	hour_22 and student_group_F2	3.343789836778564	4.597271538030275
ItemID_76	student_group_F0 and hour_21	1.294773414652436	4.584942084942085
ItemID_169	hour_22 and student_group_F3	3.141325268078087	4.575293415555998
ItemID_107	hour_23 and student_group_F2	4.085535031369511	4.527378403181401
ItemID_138	hour_22 and student_group_F2	3.343789836778564	4.522519155298075
ItemID_142	hour_21 and student_group_F2	2.165246081935661	4.502164502164503
ItemID_108	hour_18 and student_group_F2	0.583647861624216	4.496788008565311
ItemID_76	hour_18 and student_group_F2	0.583647861624216	4.496788008565311
ItemID_138	student_group_F1 and hour_23	2.356462619041668	4.481569875364625
ItemID_154	hour_1 and student_group_F2	1.46599345114605	4.475703324808184
ItemID_134	hour_0 and student_group_F4	2.487689654310496	4.471238382316001
ItemID_142	hour_21 and student_group_F1	0.978578748718974	4.469987228607918
ItemID_134	student_group_F4 and hour_23	2.295848226560352	4.463799673380512
ItemID_154	hour_1 and student_group_F3	1.400379933511635	4.462293618920125
ItemID_169	hour_23 and student_group_F3	3.704976629089909	4.452690166975881
ItemID_169	hour_22 and student_group_F4	1.930287199740046	4.435092262868242
ItemID_142	hour_21 and student_group_F4	1.609093408653486	4.427184466019417
ItemID_25	hour_1 and student_group_F3	1.400379933511635	4.417670682730924
ItemID_138	hour_23 and student_group_F2	4.085535031369511	4.405016824717039
ItemID_25	hour_1 and student_group_F4	1.010448171569975	4.390847247990106
ItemID_107	hour_0 and student_group_F2	3.028844952133377	4.373839488343305
ItemID_26	student_group_F0 and hour_23	0.757367460694379	4.29042904290429
ItemID_124	hour_21 and student_group_F3	2.313970055240333	4.266810694031866
ItemID_76	hour_17 and student_group_F4	0.955457794885895	4.251144538914323
